lender_id,name,min_score,max_loan_eur,min_loan_eur,interest_rate_pct,max_term_months,supported_purposes,focus
L01,Rabobank Zakelijk,43,1000000,5000,10.56,12,Term loan|Working capital|Revolving credit,All restaurants
L02,ING Business Finance,30,100000,5000,8.95,60,Revolving credit|Equipment finance,Sustainable only
L03,ABN AMRO Bedrijfskredieten,46,1000000,10000,11.37,36,Working capital|Term loan,Growth-stage
L04,Triodos Groenfonds,55,1000000,25000,6.9,60,Equipment finance|Term loan|Working capital,Micro-finance
L05,New10,42,250000,5000,9.02,60,Revolving credit|Working capital|Equipment finance|Term loan,Sustainable only
L06,Qredits Microfinanciering,56,1000000,25000,9.86,36,Revolving credit|Equipment finance|Term loan|Working capital,Micro-finance
L07,Funding Circle NL,47,100000,10000,9.88,84,Equipment finance|Working capital|Term loan|Revolving credit,Micro-finance
L08,October NL,35,1000000,25000,11.96,12,Equipment finance|Revolving credit|Term loan|Working capital,Growth-stage
L09,NIBC Direct Zakelijk,64,1000000,10000,9.72,84,Working capital|Term loan|Equipment finance|Revolving credit,Growth-stage
L10,BNG Bank,64,500000,10000,11.32,60,Term loan|Working capital,All restaurants
